system,first,second,third,total
BIOMD0000000368,0,0,0,10
BIOMD0000000166,0,0,0,10
BIOMD0000000521,0,0,0,0
BIOMD0000000892,0,0,0,10
BIOMD0000000906,0,0,0,10
BIOMD0000000233,0,0,0,0
BIOMD0000000609,0,0,0,0
BIOMD0000000040,0,0,0,10
BIOMD0000000500,80,20,0,130
BIOMD0000000292,0,0,0,10
BIOMD0000000191,0,0,0,0
BIOMD0000000072,0,0,0,10
BIOMD0000000962,0,0,0,10
BIOMD0000000968,0,0,0,10
BIOMD0000000108,3780,590,0,4580
